gen,best_fitness,mean_fitness,worst_fitness,best_id,best_limbs,best_depth,n_invalid,gen_seconds,cumulative_seconds,mean_novelty,best_novelty
0,10.375236601672134,0.8358041257199161,-0.9847994258601689,11,10,4,0,140.43,140.43,0.3193,0.4315
1,10.375236601672134,2.555778966641176,-0.9861614886392792,11,10,4,0,137.29,277.72,0.133,0.1894
2,10.512085770154037,5.406480190105803,-0.34180505064669897,64,10,4,0,142.02,419.75,0.0671,0.0098
3,11.143415828906898,6.750673902452438,-0.5847568014823014,74,9,4,0,144.86,564.6,0.0803,0.0956
4,15.002561737982475,9.684226946846694,5.139161472840189,99,9,4,0,146.15,710.76,0.067,0.1812
5,15.16303454977849,10.788752675645972,6.910834420076007,128,9,4,0,151.72,862.49,0.0568,0.0711
6,16.665293603081736,12.211170073575971,7.5204335605885335,145,10,4,0,147.56,1010.05,0.0505,0.1311
7,17.493357594745508,15.191400819454488,5.969949524325694,168,10,4,0,141.71,1151.77,0.045,0.0509
8,22.641998843408665,14.843445835992675,-0.6457407062291906,181,7,4,0,141.49,1293.27,0.0837,0.2362
9,24.4632872302371,17.37338724017663,10.177537687332117,219,7,4,0,145.39,1438.66,0.0465,0.1169
10,25.123836349399905,17.787675944272447,10.332918632459997,224,6,4,0,149.09,1587.75,0.0468,0.0634
11,25.563632730725566,19.633019185025578,10.389806746461602,263,9,4,0,152.91,1740.67,0.057,0.0542
12,25.57680606102261,18.541945218607328,-0.5169270749670697,275,9,4,1,156.97,1897.64,0.0811,0.0366
13,26.806109237934436,21.10943790431518,11.327917015549229,308,9,4,1,162.35,2060.0,0.0518,0.0432
14,27.25429844759806,24.083233539703805,18.697678795516918,310,8,4,2,159.29,2219.29,0.0406,0.0886
15,29.817498009652038,25.08758921848232,17.653863942074313,353,7,4,0,159.24,2378.54,0.0473,0.0854
16,31.94471513930388,26.73338417222085,21.947760907175066,371,8,4,0,154.93,2533.48,0.0592,0.0975
17,32.299942666363826,26.880908620904915,8.310502082271046,381,10,4,0,154.51,2687.99,0.0657,0.1023
18,33.88133350961862,28.68652459015185,12.79599510903622,412,9,4,1,153.95,2841.95,0.0651,0.0553
19,36.017538455367585,25.87442516083752,-0.3822870204342264,433,9,4,0,147.19,2989.14,0.0733,0.0543
20,36.017538455367585,30.29383078355395,9.580701909816236,433,9,4,1,140.19,3129.34,0.0555,0.0216
21,38.4622839537278,28.032747964143084,-0.9123241380488843,483,9,4,0,140.23,3269.58,0.0775,0.1136
22,38.4622839537278,32.93523162077093,27.847453041759525,483,9,4,0,140.04,3409.63,0.0427,0.0537
23,39.42719929124606,34.24233923943332,19.763819144545057,508,10,4,0,141.5,3551.14,0.0327,0.07
24,39.61620567225941,34.94081552719621,24.222040914590693,548,10,4,0,142.13,3693.28,0.0361,0.0423
