gen,best_fitness,mean_fitness,worst_fitness,best_id,best_limbs,best_depth,n_invalid,gen_seconds,cumulative_seconds,mean_novelty,best_novelty
0,1.2920802743668967,-1.7100479858639375,-4.3933200627993525,6,10,4,0,1140.65,1140.66,0.2734,0.2708
1,1.3150663972951122,-0.7032016093664853,-3.1920666857705173,31,10,4,2,1177.18,2317.84,0.1673,0.1017
2,1.997756201232825,0.1804908538545971,-2.1967864532066668,62,9,4,1,1279.57,3597.42,0.0747,0.0904
3,15.312784554719045,1.4117753369450776,-1.0013298361842082,81,7,4,0,1590.8,5188.22,0.0977,0.3407
4,15.754995462758941,2.595612322452273,-1.476291320350867,104,7,4,1,1725.02,6913.25,0.1216,0.2296
