gen,best_fitness,mean_fitness,worst_fitness,best_id,best_limbs,best_depth,n_invalid,gen_seconds,cumulative_seconds,mean_novelty,best_novelty
0,4.858515916144798,-3.9563031047567763,-12.421667417223683,2,6,3,0,1253.35,1253.36,0.2544,0.4149
1,13.994568390433088,0.8116743082034046,-3.5849295487837285,33,6,3,1,1095.22,2348.58,0.1666,0.2637
2,50.92147013028829,5.975472764354388,-3.5323113576084437,57,7,3,1,1119.62,3468.2,0.1939,1.1858
3,64.12800001929872,16.48752612814986,-6.331383362368916,76,7,3,1,1144.96,4613.17,0.2219,0.3244
4,64.12800001929872,29.411269603621133,0.3662446788590339,76,7,3,0,1194.12,5807.29,0.1747,0.0752
5,73.92858433609155,39.56361401388908,4.432508599621109,118,8,3,0,1175.85,6983.16,0.1432,0.0903
6,201.5110268858701,46.936998440215206,1.1104102887523748,151,8,3,0,1260.05,8243.22,0.2098,3.0141
7,308.11883739562614,69.02284962414943,-11.217893649303678,171,8,3,0,1216.52,9459.74,1.0176,9.8705
8,308.11883739562614,84.91457923045955,2.12576642839376,171,8,3,0,1277.66,10737.41,0.7303,5.9375
9,801.0615746231857,134.88058098061776,-5.6743016146341905,217,8,3,0,2332.03,13069.45,0.6711,0.1393
