gen,best_fitness,mean_fitness,worst_fitness,best_id,best_limbs,best_depth,n_invalid,gen_seconds,cumulative_seconds
0,4.186895298815378,-0.0027705576633769344,-1.1206558525528663,13,12,5,0,208.87,208.88
1,15.441408687302784,1.8281307424175433,-1.4634179950255597,43,12,5,0,196.68,405.57
2,20.732786959982484,4.328190495834667,-1.296974822822244,52,11,5,0,184.81,590.38
3,20.732786959982484,9.225579725064314,-0.45704524287525405,52,11,5,0,185.31,775.7
4,21.25087522716767,12.55448363817733,-0.09120783978056579,102,11,5,0,182.46,958.16
5,22.21121879674083,13.165040324226998,0.4547961466416533,126,11,5,0,178.22,1136.39
6,22.21121879674083,16.962091582986847,4.40325757023517,126,11,5,0,173.98,1310.38
7,23.247992412065916,14.389260487707782,-0.11123262660057585,175,11,5,0,173.97,1484.35
8,25.500690974761145,17.81626256016206,-1.9674021905131864,193,11,5,0,170.63,1654.98
9,28.70912208595112,18.919572248666782,-0.906805822807734,217,11,5,0,173.8,1828.79
10,30.8283747874293,20.732753496062116,-0.25369630275835015,231,12,5,0,174.97,2003.77
11,43.8696283277433,21.41107594846738,-0.7270336788316057,246,12,5,0,178.93,2182.7
12,46.29460895589417,25.245691406897418,3.6136721890103507,287,12,5,0,179.27,2361.98
13,74.23257061560498,27.172409766699293,0.47524039085422803,298,12,5,0,183.6,2545.59
14,74.61783601558618,39.58970156896564,0.7466959372851302,319,12,5,0,186.96,2732.55
15,81.34831345103908,41.963568039991536,-0.8163930262993955,337,12,5,0,189.0,2921.56
16,81.34831345103908,40.924243639651166,-0.21023129146569372,337,12,5,0,182.9,3104.47
17,81.34831345103908,51.76462561782015,-0.3261974481221614,337,12,5,0,190.84,3295.31
18,88.72115580903665,54.34619419406649,-0.005384941038169491,403,10,5,0,190.68,3486.0
19,88.72115580903665,55.39722214106332,0.4379517916901349,403,10,5,0,189.92,3675.93
20,88.72115580903665,64.89264807686656,0.529046883977347,403,10,5,0,189.83,3865.77
21,89.7846371826435,62.99035592875782,-15.64157691610821,471,10,5,0,188.46,4054.24
22,89.7846371826435,54.71337082408926,-0.7449729213764689,471,10,5,0,180.76,4235.01
23,90.46459184970293,44.15154339640927,-0.523366782408389,519,10,5,0,181.34,4416.36
24,91.34259806504033,52.471409998860736,-0.7070280156006591,549,10,5,0,184.2,4600.62
