gen,best_fitness,mean_fitness,worst_fitness,best_id,best_limbs,best_depth,n_invalid,gen_seconds,cumulative_seconds,mean_novelty,best_novelty
0,46.83031911814791,2.499153235055322,-3.6672654191701124,5,12,3,0,1476.71,1476.71,0.2536,0.2237
1,47.160250736598236,5.26973033444879,-3.107400953450212,43,12,3,0,1886.88,3363.6,0.1712,0.0558
2,49.1425563340052,8.829406821308224,-4.286826645095419,51,11,3,0,1948.73,5312.33,0.0748,0.078
3,95.38149105330166,16.102971135033325,-1.6207304288661035,69,11,3,0,1325.12,6637.45,0.3555,7.2186
4,107.24091163250681,21.01952403360458,-3.278794707890037,95,11,3,0,1325.84,7963.3,0.2906,0.0253
