gen,best_fitness,mean_fitness,worst_fitness,best_id,best_limbs,best_depth,n_invalid,gen_seconds,cumulative_seconds,mean_novelty,best_novelty
0,1.0815887937059543,-6.083814881812852,-19.48985972218475,10,6,4,0,1326.41,1326.42,0.2733,0.3376
1,5.11773617210212,-2.1221816372255122,-7.821407581584316,29,6,4,1,1234.19,2560.61,0.1388,0.0839
2,26.555107583578078,1.988660011960758,-5.382821236825839,48,6,4,5,1105.52,3666.13,0.1264,0.3094
3,35.54065115691318,9.749278181681616,-3.5409297323090976,77,6,4,0,1183.99,4850.13,0.1224,0.1768
4,80.73140036576324,24.373944732530028,-3.062893268486151,103,7,4,1,1199.3,6049.44,0.1728,0.7138
5,80.73140036576324,33.944987038371195,-3.6754746793013755,103,7,4,0,1237.33,7286.78,0.1404,0.3347
6,80.73140036576324,44.537408372874594,-2.8870621962768794,103,7,4,1,1206.03,8492.81,0.1169,0.1652
7,93.09375546309967,54.097641596470375,20.97771497022269,156,8,4,0,1205.26,9698.08,0.0875,0.3178
8,110.9728495253547,60.77949030466482,-5.573429859595574,191,6,4,0,1206.4,10904.5,0.1049,0.2997
9,110.9728495253547,65.68110473831675,-10.562590523733181,191,6,4,0,1312.2,12216.7,0.0986,0.1652
