gen,best_fitness,mean_fitness,worst_fitness,best_id,best_limbs,best_depth,n_invalid,gen_seconds,cumulative_seconds,mean_novelty,best_novelty
0,-5.506759942171934,-12.956769044843313,-26.623581183531318,10,6,4,0,1175.59,1175.6,0.2734,0.3492
1,-1.8086233897419235,-9.687630038408882,-13.743654290653332,29,6,4,1,1158.09,2333.69,0.1402,0.0881
2,-1.8086233897419235,-8.83598218071862,-12.458699111524663,29,6,4,4,1106.03,3439.73,0.1218,0.0597
3,4.413179853694676,-4.674443478467908,-11.044765106999346,68,7,4,2,1195.36,4635.09,0.0711,0.1591
4,14.102987917081819,-1.2725546645208947,-11.462996755957727,102,7,4,1,1121.54,5756.64,0.141,0.2838
5,20.99435032656527,0.6188065956237653,-54.084119736342984,121,4,4,0,1165.31,6921.96,0.3016,0.1251
6,44.281680625957826,8.76272927332389,-9.810844565458353,151,5,4,2,1180.78,8102.75,0.2533,0.2913
7,44.281680625957826,12.001807123102735,-10.394054114518601,151,5,4,1,1174.86,9277.62,0.2269,0.0579
8,53.44661682815016,21.05097527503052,-3.9093650494377443,199,5,4,0,1245.48,10523.11,0.2503,0.144
9,53.75878011423297,19.207243518971524,-13.780953823447073,203,5,4,0,1299.1,11822.21,0.0964,0.0895
