gen,best_fitness,mean_fitness,worst_fitness,best_id,best_limbs,best_depth,n_invalid,gen_seconds,cumulative_seconds,mean_novelty,best_novelty
0,3.6423799587389833,-2.238716002852112,-3.959668551871276,11,10,4,0,153.05,153.06,0.3112,0.3573
1,4.461302569904558,-0.6626335985207978,-3.3621156422236904,44,10,4,1,144.19,297.25,0.1549,0.1741
2,4.928489741929381,1.7471661791302757,-2.437840763113376,66,10,4,0,147.94,445.2,0.07,0.0858
3,5.13097284234493,2.750576820720601,-3.076362679204184,74,10,4,0,153.51,598.71,0.0759,0.0593
4,8.41589426812867,4.326741255585792,0.9901176707151612,99,10,4,0,168.35,767.06,0.0743,0.1719
5,8.500552901153974,5.055007786388754,1.516002880867471,128,10,4,0,172.59,939.66,0.0605,0.0601
6,9.622050445893537,6.099061228202445,1.4795352351133007,145,11,4,0,166.63,1106.3,0.0507,0.0974
7,9.883028886207711,7.800372080359789,1.6666518580431293,171,11,4,0,159.15,1265.46,0.0426,0.0374
8,13.801646912404225,7.713573188350055,-3.4424936798737575,181,8,4,0,154.35,1419.81,0.0829,0.1539
9,14.28925642481742,9.60251362408296,3.1113541901355806,219,8,4,0,159.92,1579.74,0.0457,0.0815
10,14.28925642481742,10.036843249696128,4.57942574691383,219,8,4,0,168.06,1747.81,0.0487,0.037
11,15.505316795282022,11.123170180345902,5.060081414493321,246,9,4,0,165.06,1912.88,0.066,0.1606
12,15.505316795282022,11.212401904932994,-3.453162565530136,246,9,4,2,162.75,2075.64,0.0695,0.1018
13,20.410688070984282,12.184957859479455,5.649711389164463,300,8,4,1,159.43,2235.08,0.0653,0.2786
14,20.410688070984282,14.099660779237087,8.072966137166388,300,8,4,1,164.44,2399.52,0.0417,0.1493
15,24.65692543435679,16.702439993343138,1.8470956212757883,345,8,4,0,158.58,2558.12,0.0528,0.1664
16,24.95265735429635,18.286163412369394,7.717244302886161,354,8,4,0,156.49,2714.63,0.0681,0.0583
17,25.650586253754703,20.77549344600128,13.905564737675434,381,9,4,0,154.98,2869.62,0.062,0.07
18,27.304490358931645,23.86536563346845,14.00123349805043,412,9,4,1,149.04,3018.67,0.0621,0.0747
19,29.263497042191922,23.07948920264904,5.740679045890481,433,9,4,1,148.58,3167.27,0.0609,0.0357
20,29.54797835394164,25.28423705701905,14.745499241121527,453,9,4,1,149.58,3316.86,0.0533,0.0408
21,30.0951614147727,24.03610309362537,5.0266678276813455,468,9,4,1,142.38,3459.25,0.0559,0.0319
22,30.13926143069968,26.26977891873338,14.506209404990255,501,9,4,0,141.06,3600.33,0.0342,0.0155
23,32.61141840870101,27.567649268858634,15.078128727303586,508,10,4,0,149.17,3749.52,0.0356,0.0574
24,34.03110766506729,27.967977640986614,10.85641309019393,535,9,4,0,153.96,3903.5,0.0457,0.1409
