gen,best_fitness,mean_fitness,worst_fitness,best_id,best_limbs,best_depth,n_invalid,gen_seconds,cumulative_seconds,mean_novelty,best_novelty
0,24.73279571759177,3.6864886022936125,-3.4251184183635495,11,10,4,0,417.75,417.76,0.3278,0.3298
1,26.159994277083243,11.6431635778991,-3.05678014082198,32,12,4,1,419.86,837.62,0.1523,0.166
2,28.22655844669778,20.401894286091103,9.955306350730538,66,12,4,0,442.47,1280.09,0.056,0.0179
3,28.888149089260732,23.080623944685836,-1.3285722036890955,82,8,4,0,475.7,1755.8,0.0781,0.1705
4,31.09294960952504,27.229227230798458,21.257597014586224,96,8,4,0,476.98,2232.78,0.0745,0.1087
5,33.5030260890419,27.863861355993226,15.775780507558153,130,10,4,0,472.56,2705.34,0.064,0.0738
6,35.08814368760922,31.19223383613399,26.403653820427383,150,11,4,0,468.49,3173.84,0.0399,0.0644
7,35.857967241342074,31.69212859412676,15.2015889251163,171,8,4,0,466.94,3640.79,0.0533,0.0285
8,37.740927117946796,31.227175874990195,-0.06759303340093516,184,8,4,0,456.79,4097.58,0.0601,0.0255
9,37.740927117946796,34.92511013992368,29.610971752136525,184,8,4,0,450.29,4547.88,0.0498,0.0159
10,38.93730713839442,34.3606011134408,17.29690400605887,230,9,4,0,447.83,4995.72,0.0689,0.0225
11,41.32907194583435,35.15253568023231,17.9899950166969,256,11,4,0,449.32,5445.05,0.082,0.114
12,42.114343474501354,34.82322585558835,-3.9394814415993373,266,10,4,0,457.6,5902.66,0.0975,0.0622
13,42.71710952332879,35.05381779915408,-0.3389734173278088,296,9,4,0,451.85,6354.53,0.0747,0.0929
14,45.02338907797062,36.92825950639452,-0.8764120481501015,321,7,4,0,453.35,6807.89,0.0622,0.021
15,45.311827040756874,39.99140355407779,20.82186583250589,349,7,4,0,452.1,7260.0,0.0665,0.0136
16,49.05205962734326,41.662873965197164,32.37829404897457,365,8,4,0,448.75,7708.77,0.0961,0.7837
17,49.05205962734326,41.48648329574245,23.0751391007834,365,8,4,0,448.18,8156.97,0.0876,0.6178
18,54.310411068268444,41.0340520629343,3.283868969875485,402,8,4,0,444.2,8601.19,0.1097,0.1573
19,54.310411068268444,41.45170108110765,-1.7741209337070922,402,8,4,0,445.42,9046.63,0.1025,0.0645
20,54.43658767147591,45.17785353350797,-2.3570671657360744,451,8,4,0,447.31,9493.95,0.0844,0.0227
21,53.40114444815719,43.8864602499068,17.391777432787702,479,9,4,0,447.18,9941.14,0.0811,0.0747
22,53.68005408278791,46.66514287125778,36.45975248342149,492,8,4,0,449.25,10390.41,0.0629,0.0782
23,60.78898956453575,48.69089807159529,28.742577449833927,518,8,4,0,441.71,10832.15,0.0428,0.0421
24,60.78898956453575,49.65311212523117,28.418493689291903,518,8,4,0,445.86,11278.05,0.0516,0.0335
