gen,best_fitness,mean_fitness,worst_fitness,best_id,best_limbs,best_depth,n_invalid,gen_seconds,cumulative_seconds,mean_novelty,best_novelty
0,20.307784617104687,0.5728468429434547,-3.0056960250607156,8,11,3,0,1162.75,1162.76,0.3409,0.5806
1,20.72251973245807,4.030741136604843,-2.2433163306069765,44,11,3,0,1238.63,2401.4,0.1891,0.1933
2,46.01392393767538,9.684149725825586,-0.3645171666400011,67,8,3,0,1266.93,3668.33,0.0807,0.1727
3,69.09649135212182,16.054451403762016,-0.7641577575849254,82,8,3,0,1302.8,4971.14,0.0918,0.1824
4,69.09649135212182,20.344183519705364,-1.1506312951540825,82,8,3,0,1189.23,6160.38,0.0918,0.0679
5,71.35188493082046,35.33209170808856,-0.29262250481277263,124,9,3,0,1151.16,7311.55,0.0896,0.0476
6,76.78774277393264,46.06655618314545,0.5452077309374146,149,9,3,0,1194.62,8506.18,0.0905,0.031
7,78.83610304868928,54.884707164710164,1.1207433679932954,172,9,3,0,1391.83,9898.02,0.063,0.0522
8,88.40528281642828,53.701939550805854,-0.7687639982313699,183,9,3,0,1210.03,11108.05,0.0707,0.0273
9,89.65726701196418,58.14270442156599,0.5993371983417197,214,9,3,0,1145.38,12253.44,0.0748,0.0227
