gen,best_fitness,mean_fitness,worst_fitness,best_id,best_limbs,best_depth,n_invalid,gen_seconds,cumulative_seconds,mean_novelty,best_novelty
0,0.9119483665555368,-1.219939705690164,-3.7531277235930247,15,3,2,0,1162.12,1162.12,0.3217,0.4465
1,1.7552493156910418,-0.1005909432743462,-2.0260094565985534,37,2,2,1,1068.26,2230.38,0.233,0.2485
2,1.8082381298876804,0.4157868591174185,-1.3348443688793816,53,2,2,0,1128.4,3358.78,0.1258,0.064
3,2.176768682868351,0.7669731170462103,-1.189988695938947,83,2,2,0,1219.29,4578.07,0.0823,0.0665
4,3.8461737186223095,1.365576924026333,-0.3621223636392337,93,5,3,4,1315.28,5893.36,0.1261,0.0817
5,3.8461737186223095,1.233415154099947,-0.49701498615123507,93,5,3,5,1143.12,7036.48,0.1212,0.059
6,5.0445877029431605,1.727532112690021,-1.2906888119505908,137,4,3,3,1098.99,8135.47,0.1121,0.1906
7,5.5085464054537825,2.061009964536266,-0.9992127800370715,169,5,3,6,752.29,8887.76,0.1233,0.0554
8,6.318199830210203,3.1359533301423093,-0.7698132155255398,187,5,3,3,1098.19,9985.97,0.0855,0.0622
9,6.318199830210203,3.116397335961173,-1.1626043033466233,187,5,3,0,1100.02,11086.0,0.0737,0.0309
