gen,best_fitness,mean_fitness,worst_fitness,best_id,best_limbs,best_depth,n_invalid,gen_seconds,cumulative_seconds
0,67.36476421651072,50.89763129363152,37.07945305373963,1,12,5,0,80.35,80.36
1,67.64114809725874,52.58062288935784,41.69161528920284,29,12,5,0,66.87,147.23
2,70.90689576563219,60.99480558538948,48.238887189178875,31,12,5,2,64.27,211.5
3,77.75161371297979,62.38933658356441,35.251632870080535,54,11,5,2,79.83,291.33
4,77.75161371297979,65.56325638627294,45.36881305060538,54,11,5,0,83.63,374.97
5,78.29251475805239,64.2572067886655,26.56074934795551,76,11,5,0,81.0,455.97
6,78.29251475805239,63.821952979656054,38.04122800094647,76,11,5,0,80.73,536.7
7,80.01594055783424,64.528600656426,40.37709022170552,102,11,5,1,79.68,616.38
8,80.76786403846252,64.78705501249344,42.45718622314056,123,11,5,0,79.55,695.94
9,82.69232378900925,67.00751322137344,28.728050092728306,133,11,5,0,80.59,776.53
10,89.69862523608654,74.13758262256155,20.383728871243687,150,11,5,0,81.24,857.77
11,89.69862523608654,75.37674752905905,45.44418946864476,150,11,5,0,83.17,940.94
12,89.69862523608654,69.78442507683857,40.469235138730106,150,11,5,0,82.4,1023.34
13,90.91020820150504,71.1085331732137,38.47954076650279,193,11,5,1,81.24,1104.59
14,90.91020820150504,75.88890361525563,44.345605742782,193,11,5,0,81.43,1186.02
15,92.14868691071682,71.99837925438672,39.95644677887929,218,11,5,0,81.5,1267.53
16,92.14868691071682,73.2904585184348,34.42614879780757,218,11,5,0,83.72,1351.25
17,93.6931863458427,75.13987582820323,35.61677345358216,250,11,5,0,83.24,1434.5
18,93.92282360320371,79.89981076803092,55.73726212495195,258,11,5,0,84.67,1519.18
19,93.92282360320371,80.95642959669517,58.53231634782632,258,11,5,0,85.33,1604.51
