gen,best_fitness,mean_fitness,worst_fitness,best_id,best_limbs,best_depth,n_invalid,gen_seconds,cumulative_seconds,mean_novelty,best_novelty
0,0.32205115438087734,-2.533373858403987,-4.1151791892558185,15,9,4,0,438.95,438.96,0.2946,0.2161
1,1.4741128646471526,-1.2106173267585252,-3.4673849159554586,41,12,4,1,459.28,898.24,0.144,0.1225
2,1.7620911249876041,-0.1734110565024475,-2.5084505018514522,49,12,4,0,526.54,1424.79,0.054,0.0092
3,2.0143561611836516,-0.0607573628943325,-3.376344784187211,83,12,4,0,563.43,1988.23,0.0748,0.0188
4,9.725796377734255,1.349500771317566,-3.0088262936156958,100,7,4,0,543.51,2531.74,0.0679,0.1882
5,9.725796377734255,2.3560939322717966,-3.3861907457965814,100,7,4,0,527.16,3058.9,0.0688,0.1162
6,15.700118840926564,5.239054660790423,0.9716088531810305,141,7,4,1,461.44,3520.35,0.0509,0.0307
7,16.514184423672216,8.660611338269954,-0.7793937578505968,163,6,4,0,457.48,3977.83,0.0874,0.1446
8,16.611114696608883,13.028851467867243,-3.45213692162613,195,6,4,1,482.28,4460.12,0.092,0.0605
9,17.140258015953616,15.151072767597029,4.154375137802678,205,5,4,0,458.58,4918.71,0.0597,0.0311
10,18.110637141037945,15.443056717006368,7.320544193692612,230,5,4,1,410.39,5329.1,0.0813,0.0431
11,27.567343230524802,16.927126698690564,7.078811835617324,256,7,4,1,411.36,5740.48,0.0788,0.1137
12,27.567343230524802,17.82123751003496,6.175149524204916,256,7,4,3,406.21,6146.7,0.0702,0.0696
13,27.567343230524802,18.227972686888812,7.021660373302761,256,7,4,1,450.51,6597.21,0.0804,0.0365
14,28.497699516400644,20.730186749056625,-3.2924932792734913,331,7,4,0,464.86,7062.09,0.0608,0.0306
15,28.91057059873936,24.146312634912196,14.797859976444656,351,7,4,1,461.53,7523.64,0.0515,0.0449
16,32.372465283790945,23.772983779910934,5.065723347802506,370,7,4,0,426.83,7950.49,0.0698,0.021
17,36.17497009896949,27.739528676033526,10.893647930011904,384,9,4,0,446.08,8396.58,0.0658,0.0857
18,36.861465463468996,29.93512154477089,10.33542513273287,415,7,4,1,489.35,8885.94,0.0702,0.0296
19,44.18593886680793,31.238755036691618,-3.796741784111815,421,9,4,0,464.69,9350.65,0.0695,0.0458
20,44.18593886680793,37.134475979519685,27.02285014879446,421,9,4,0,559.37,9910.06,0.0545,0.0134
21,44.63312203123436,34.64487241370215,-3.4025708081410357,481,10,4,1,492.13,10402.2,0.067,0.0736
22,48.33204052028582,40.31969690808307,31.835569476146418,495,9,4,0,551.66,10953.88,0.0351,0.0275
23,49.718806850292545,42.93599395886033,26.046539470152922,511,10,4,0,541.38,11495.28,0.0391,0.0586
24,50.68798949084029,45.60182620591174,36.542580875371236,551,9,4,0,467.14,11962.44,0.0384,0.0988
