gen,best_fitness,mean_fitness,worst_fitness,best_id,best_limbs,best_depth,n_invalid,gen_seconds,cumulative_seconds
0,4.423731100109317,0.005981218085729638,-1.1208944486650247,13,12,5,0,209.51,209.52
1,10.20542045056662,1.6035225617824016,-1.4655313383893245,43,12,5,0,202.13,411.65
2,13.707131731149895,3.4922271070511735,-1.308880619628924,52,11,5,0,191.44,603.11
3,13.707131731149895,7.166965676930598,-0.46579012237563816,52,11,5,0,191.27,794.38
4,14.485398691085114,8.683050933012824,-0.08514313817908414,103,11,5,0,182.56,976.95
5,15.03898992321741,9.92561060572928,1.1647450263494739,126,11,5,0,186.92,1163.87
6,17.67664404155858,11.508694636373884,4.203247103282613,146,12,5,0,184.6,1348.48
7,17.91834091699063,12.890055023733474,1.4475145839405517,164,11,5,0,191.88,1540.37
8,21.399500820916973,13.558438585394194,-0.517382530468785,184,12,5,0,188.79,1729.16
9,32.92707167811589,14.63238594333096,0.19971544030381377,218,12,5,0,195.68,1924.84
10,36.44171863719232,20.45679789733585,8.591976435351732,222,12,5,0,180.64,2105.5
11,36.44171863719232,22.661112553764855,-1.9325902812852513,222,12,5,0,181.11,2286.61
12,36.44171863719232,19.25563734600984,-1.7887921858560225,222,12,5,0,179.53,2466.15
13,37.174270675436446,26.10628378419247,-0.3002957200829769,297,12,5,0,182.74,2648.89
14,37.174270675436446,24.27775290255761,0.2280563125302775,297,12,5,0,280.46,2929.36
15,37.174270675436446,23.532294723070308,-11.306539629182552,297,12,5,0,365.31,3294.68
16,37.174270675436446,26.093383185099015,0.08635408679947869,297,12,5,0,190.01,3484.7
17,37.174270675436446,28.15265724253433,2.1159128313890365,297,12,5,0,190.8,3675.5
18,37.527502168125274,26.702889392428478,1.3830353450553605,412,12,5,0,178.57,3854.09
19,37.527502168125274,30.710709580424606,3.038657316627439,412,12,5,0,177.16,4031.25
20,38.134632615172194,30.608251957607475,0.43277094838850605,451,12,5,0,178.27,4209.53
21,38.1442739360876,28.839096208922996,1.3951956310278437,482,12,5,0,177.67,4387.21
22,38.95686787239487,29.126857928174918,4.657116021890347,496,12,5,0,193.44,4580.66
23,38.95686787239487,32.59366541835706,6.806837884476394,496,12,5,0,191.68,4772.35
24,38.95686787239487,31.913727942286517,1.998509320019025,496,12,5,0,200.28,4972.64
