gen,best_fitness,mean_fitness,worst_fitness,best_id,best_limbs,best_depth,n_invalid,gen_seconds,cumulative_seconds,mean_novelty,best_novelty
0,0.557439742060382,-5.966282935429931,-18.366208535851065,10,6,4,0,1502.78,1502.78,0.273,0.3362
1,3.077474583087554,-3.1506785207653807,-6.266311830771503,29,6,4,1,1296.32,2799.1,0.1316,0.072
2,3.077474583087554,-1.7281089795835058,-5.346627783741198,29,6,4,1,1230.35,4029.45,0.1052,0.0319
3,3.0925015705365944,0.024629748361571762,-4.43137876974137,79,6,4,0,1273.96,5303.42,0.0865,0.0072
4,6.999731282135464,1.229847765566726,-4.143334112413692,95,6,4,1,1308.81,6612.23,0.0938,0.1631
5,7.889228327219641,2.609935688031016,-3.1100524739977278,128,5,4,0,1284.92,7897.16,0.0779,0.2479
6,19.754104778874403,5.188537245420327,-4.104268806999249,152,5,4,2,1281.41,9178.57,0.0702,0.1487
7,20.588410344219067,7.5772950528265275,-4.81555788962566,171,5,4,1,1224.05,10402.62,0.0724,0.0435
8,18.589464490885238,5.919604274515614,-13.217779433849794,196,5,4,0,1234.91,11637.54,0.0752,0.0453
9,26.915369295896202,9.520513861567352,-6.900276784926234,208,5,4,0,1254.66,12892.22,0.0813,0.0922
