gen,best_fitness,mean_fitness,worst_fitness,best_id,best_limbs,best_depth,n_invalid,gen_seconds,cumulative_seconds,mean_novelty,best_novelty
0,0.3734944439719814,-2.511838589215921,-4.009732713466675,15,9,4,0,1187.32,1187.33,0.2946,0.216
1,1.556195355678905,-1.1991231926869286,-3.4670512224426537,41,12,4,2,1225.59,2412.92,0.142,0.1225
2,3.75650157468256,0.13309228141235496,-3.2196782302453464,59,10,4,0,1210.19,3623.11,0.058,0.1448
3,12.158771718673188,2.2511359649197966,-2.155983779685279,85,7,4,0,1203.05,4826.17,0.0513,0.1764
4,17.3026469207412,4.33659657284645,-1.7832071721252947,101,7,4,0,1154.46,5980.64,0.0595,0.0342
5,19.251937622423288,6.100334185630662,-3.5222809123509635,112,6,4,0,1161.7,7142.35,0.0826,0.0998
6,21.934174236228216,12.224088560155819,-3.2326560160742304,140,6,4,0,1156.63,8298.98,0.0491,0.0202
7,22.276434602017726,15.569111021096793,-3.2326542914558885,173,7,4,0,1129.06,9428.05,0.0663,0.0362
8,24.912889651635385,18.858672373621793,-3.700476878386187,194,7,4,0,1114.99,10543.05,0.0731,0.0296
9,25.2637887471433,21.081104140479216,4.800571486858404,221,7,4,0,1091.46,11634.52,0.0632,0.0246
10,25.2637887471433,21.95008610411846,17.243041163711993,221,7,4,0,1112.61,12747.13,0.0597,0.021
11,30.17382343795531,23.435589432092545,14.220473712045148,265,6,4,0,1116.68,13863.83,0.0701,0.0518
12,29.53877498038082,21.577386673658665,-3.3582609121516125,275,8,4,0,1136.86,15000.69,0.0917,0.1122
13,29.53877498038082,22.45117789091515,-0.3676874979581681,275,8,4,0,1135.21,16135.91,0.082,0.0675
14,32.82450376554792,26.1878879177051,-2.955140839687317,310,7,4,1,1923.44,18059.37,0.0539,0.0215
15,34.052163407379744,29.096231610587072,15.376075140293688,353,7,4,0,1080.85,19140.23,0.0468,0.0162
16,36.29862226632799,28.762297010152423,3.1207330992537354,375,8,4,0,1137.92,20278.16,0.0683,0.064
17,40.969666210864,31.330417373712454,11.468876664894154,383,9,4,0,1153.5,21431.67,0.0586,0.0921
