gen,best_fitness,mean_fitness,worst_fitness,best_id,best_limbs,best_depth,n_invalid,gen_seconds,cumulative_seconds,mean_novelty,best_novelty
0,20.307784617104687,0.5728468429434547,-3.0056960250607156,8,11,3,0,1188.15,1188.16,0.3409,0.5806
1,20.72251973245807,4.030741136604843,-2.2433163306069765,44,11,3,0,1176.45,2364.61,0.1891,0.1933
2,46.01392393767538,9.684149725825586,-0.3645171666400011,67,8,3,0,1206.04,3570.65,0.0807,0.1727
3,69.09649135212182,16.054451403762016,-0.7641577575849254,82,8,3,0,1201.91,4772.57,0.0918,0.1824
4,69.09649135212182,20.344183519705364,-1.1506312951540825,82,8,3,0,1191.76,5964.34,0.0918,0.0679
