gen,best_fitness,mean_fitness,worst_fitness,best_id,best_limbs,best_depth,n_invalid,gen_seconds,cumulative_seconds,mean_novelty,best_novelty
0,4.858515916144798,-3.9563031047567763,-12.421667417223683,2,6,3,0,1345.48,1345.49,0.2544,0.4149
1,13.994568390433088,0.8116743082034046,-3.5849295487837285,33,6,3,1,1218.29,2563.78,0.1666,0.2637
2,50.92147013028829,5.975472764354388,-3.5323113576084437,57,7,3,1,1209.36,3773.15,0.1939,1.1858
3,64.12800001929872,16.48752612814986,-6.331383362368916,76,7,3,1,1272.52,5045.67,0.2219,0.3244
4,64.12800001929872,29.411269603621133,0.3662446788590339,76,7,3,0,1238.43,6284.11,0.1747,0.0752
