gen,best_fitness,mean_fitness,worst_fitness,best_id,best_limbs,best_depth,n_invalid,gen_seconds,cumulative_seconds,mean_novelty,best_novelty
0,-9.763591411875971,-12.07937834386626,-13.753064988019275,0,2,2,0,1.38,1.38,0.6485,0.7859
1,-9.644102014563973,-9.987209060064767,-10.709065030671693,6,2,2,0,0.42,1.8,0.4996,0.735
