gen,best_fitness,mean_fitness,worst_fitness,best_id,best_limbs,best_depth,n_invalid,gen_seconds,cumulative_seconds,mean_novelty,best_novelty
0,23.07226036107257,-2.6856933160657075,-8.19839198538186,14,5,3,0,1201.46,1201.47,0.3239,0.4383
1,34.47398032527121,2.8887646485732827,-3.0912487686881924,27,5,3,1,1212.68,2414.15,0.2485,0.5635
2,36.75337502355439,7.100757248383659,-3.951236118664653,61,4,3,2,1314.58,3728.73,0.1726,0.239
3,50.02119224102304,10.24216803741736,-3.5691311220315036,68,4,3,0,1347.41,5076.15,0.1127,0.1011
4,50.02119224102304,15.555521584676292,-2.5006022514359794,68,4,3,0,1408.46,6484.62,0.1713,0.0394
